Channel_Die,Start,End,Operation
6-2,522100268,523900268,WRITE
6-2,526650268,528450268,WRITE
6-2,531200268,533000268,WRITE
6-2,535750268,537550268,WRITE
6-2,540300268,542100268,WRITE
6-2,544850268,546650268,WRITE
6-2,549400268,551200268,WRITE
6-2,553950268,555750268,WRITE
6-2,558500268,560300268,WRITE
6-2,563050268,564850268,WRITE
6-2,567600268,569400268,WRITE
6-2,572150268,573950268,WRITE
6-2,576700268,578500268,WRITE
6-2,581250268,583050268,WRITE
6-2,585800268,587600268,WRITE
6-2,590350268,592150268,WRITE
6-2,594900268,596700268,WRITE
6-2,599450268,601250268,WRITE
6-2,604000268,605800268,WRITE
6-2,608550268,610350268,WRITE
6-2,613100268,614900268,WRITE
6-2,617650268,619450268,WRITE
6-2,622200268,624000268,WRITE
6-2,626750268,628550268,WRITE
6-2,631300268,633100268,WRITE
6-2,635850268,637650268,WRITE
6-2,640400268,642200268,WRITE
6-2,644950268,646750268,WRITE
6-2,649500268,651300268,WRITE
6-2,654050268,655850268,WRITE
6-2,658600268,660400268,WRITE
6-2,663150268,664950268,WRITE
6-2,667700268,669500268,WRITE
6-2,672250268,674050268,WRITE
6-2,676800268,678600268,WRITE
6-2,681350268,683150268,WRITE
6-2,685900268,687700268,WRITE
6-2,690450268,692250268,WRITE
6-2,695000268,696800268,WRITE
6-2,699550268,701350268,WRITE
6-2,704100268,705900268,WRITE
6-2,708650268,710450268,WRITE
6-2,713200268,715000268,WRITE
6-2,717750268,719550268,WRITE
6-2,722300268,724100268,WRITE
6-2,726850268,728650268,WRITE
6-2,731400268,733200268,WRITE
6-2,735950268,737750268,WRITE
6-2,740500268,742300268,WRITE
6-2,745050268,746850268,WRITE
6-2,749600268,751400268,WRITE
6-2,754150268,755950268,WRITE
6-2,758700268,760500268,WRITE
6-2,763250268,765050268,WRITE
6-2,767800268,769600268,WRITE
6-2,772350268,774150268,WRITE
6-2,776900268,778700268,WRITE
6-2,781450268,783250268,WRITE
6-2,786000268,787800268,WRITE
6-2,790550268,792350268,WRITE
6-2,795100268,796900268,WRITE
6-2,799650268,801450268,WRITE
6-2,804200268,806000268,WRITE
6-2,808750268,810550268,WRITE
6-2,813300268,815100268,WRITE
6-2,817850268,819650268,WRITE
6-2,822400268,824200268,WRITE
6-2,826950268,828750268,WRITE
6-2,831500268,833300268,WRITE
6-2,836050268,837850268,WRITE
6-2,840600268,842400268,WRITE
6-2,845150268,846950268,WRITE
6-2,849700268,851500268,WRITE
6-2,854250268,856050268,WRITE
6-2,858800268,860600268,WRITE
6-2,863350268,865150268,WRITE
6-2,867900268,869700268,WRITE
6-2,872450268,874250268,WRITE
6-2,877000268,878800268,WRITE
6-2,881550268,883350268,WRITE
6-2,886100268,887900268,WRITE
6-2,890650268,892450268,WRITE
6-2,895200268,897000268,WRITE
6-2,899750268,901550268,WRITE
6-2,904300268,906100268,WRITE
6-2,908850268,910650268,WRITE
6-2,913400268,915200268,WRITE
6-2,917950268,919750268,WRITE
6-2,922500268,924300268,WRITE
6-2,927050268,928850268,WRITE
6-2,931600268,933400268,WRITE
6-2,936150268,937950268,WRITE
6-2,940700268,942500268,WRITE
6-2,945250268,947050268,WRITE
6-2,949800268,951600268,WRITE
6-2,954350268,956150268,WRITE
6-2,958900268,960700268,WRITE
6-2,963450268,965250268,WRITE
6-2,968000268,969800268,WRITE
6-2,972550268,974350268,WRITE
6-2,977100268,978900268,WRITE
6-2,981650268,983450268,WRITE
6-2,986200268,988000268,WRITE
6-2,990750268,992550268,WRITE
6-2,995300268,997100268,WRITE
6-2,999850268,1001650268,WRITE
