Channel_Die,Start,End,Operation
0-0,0,50016,READ
0-0,3151184,105533936,READ
1-0,0,3201024,READ
1-1,16,3201040,READ
1-10,160,3201184,READ
1-11,176,3201200,READ
1-2,32,3201056,READ
1-3,48,3201072,READ
1-4,64,3201088,READ
1-5,80,3201104,READ
1-6,96,3201120,READ
1-7,112,3201136,READ
1-8,128,3201152,READ
1-9,144,3201168,READ
2-0,105483920,108684944,READ
2-1,105483936,108684960,READ
2-10,105484080,108685104,READ
2-11,105484096,108685120,READ
2-2,105483952,108684976,READ
2-3,105483968,108684992,READ
2-4,105483984,108685008,READ
2-5,105484000,108685024,READ
2-6,105484016,108685040,READ
2-7,105484032,108685056,READ
2-8,105484048,108685072,READ
2-9,105484064,108685088,READ
3-0,108635104,111836128,READ
3-1,108635120,111836144,READ
3-10,108635264,111836288,READ
3-11,108635280,111836304,READ
3-2,108635136,111836160,READ
3-3,108635152,111836176,READ
3-4,108635168,111836192,READ
3-5,108635184,111836208,READ
3-6,108635200,111836224,READ
3-7,108635216,111836240,READ
3-8,108635232,111836256,READ
3-9,108635248,111836272,READ
-1--1,50016,50018,COMPUTE
-1--1,50032,50034,COMPUTE
-1--1,50048,50050,COMPUTE
-1--1,50064,50066,COMPUTE
-1--1,50080,50082,COMPUTE
-1--1,50096,50098,COMPUTE
-1--1,50112,50114,COMPUTE
-1--1,50128,50130,COMPUTE
-1--1,50144,50146,COMPUTE
-1--1,50160,50162,COMPUTE
-1--1,50176,50178,COMPUTE
-1--1,50192,50194,COMPUTE
-1--1,100032,100034,COMPUTE
-1--1,100048,100050,COMPUTE
-1--1,100064,100066,COMPUTE
-1--1,100080,100082,COMPUTE
-1--1,100096,100098,COMPUTE
-1--1,100112,100114,COMPUTE
-1--1,100128,100130,COMPUTE
-1--1,100144,100146,COMPUTE
-1--1,100160,100162,COMPUTE
-1--1,100176,100178,COMPUTE
-1--1,100192,100194,COMPUTE
-1--1,100208,100210,COMPUTE
-1--1,150048,150050,COMPUTE
-1--1,150064,150066,COMPUTE
-1--1,150080,150082,COMPUTE
-1--1,150096,150098,COMPUTE
-1--1,150112,150114,COMPUTE
-1--1,150128,150130,COMPUTE
-1--1,150144,150146,COMPUTE
-1--1,150160,150162,COMPUTE
-1--1,150176,150178,COMPUTE
-1--1,150192,150194,COMPUTE
-1--1,150208,150210,COMPUTE
-1--1,150224,150226,COMPUTE
-1--1,200064,200066,COMPUTE
-1--1,200080,200082,COMPUTE
-1--1,200096,200098,COMPUTE
-1--1,200112,200114,COMPUTE
-1--1,200128,200130,COMPUTE
-1--1,200144,200146,COMPUTE
-1--1,200160,200162,COMPUTE
-1--1,200176,200178,COMPUTE
-1--1,200192,200194,COMPUTE
-1--1,200208,200210,COMPUTE
-1--1,200224,200226,COMPUTE
-1--1,200240,200242,COMPUTE
-1--1,250080,250082,COMPUTE
-1--1,250096,250098,COMPUTE
-1--1,250112,250114,COMPUTE
-1--1,250128,250130,COMPUTE
-1--1,250144,250146,COMPUTE
-1--1,250160,250162,COMPUTE
-1--1,250176,250178,COMPUTE
-1--1,250192,250194,COMPUTE
-1--1,250208,250210,COMPUTE
-1--1,250224,250226,COMPUTE
-1--1,250240,250242,COMPUTE
-1--1,250256,250258,COMPUTE
-1--1,300096,300098,COMPUTE
-1--1,300112,300114,COMPUTE
-1--1,300128,300130,COMPUTE
-1--1,300144,300146,COMPUTE
-1--1,300160,300162,COMPUTE
-1--1,300176,300178,COMPUTE
-1--1,300192,300194,COMPUTE
-1--1,300208,300210,COMPUTE
-1--1,300224,300226,COMPUTE
-1--1,300240,300242,COMPUTE
-1--1,300256,300258,COMPUTE
-1--1,300272,300274,COMPUTE
-1--1,350112,350114,COMPUTE
-1--1,350128,350130,COMPUTE
-1--1,350144,350146,COMPUTE
-1--1,350160,350162,COMPUTE
-1--1,350176,350178,COMPUTE
-1--1,350192,350194,COMPUTE
-1--1,350208,350210,COMPUTE
-1--1,350224,350226,COMPUTE
-1--1,350240,350242,COMPUTE
-1--1,350256,350258,COMPUTE
-1--1,350272,350274,COMPUTE
-1--1,350288,350290,COMPUTE
-1--1,400128,400130,COMPUTE
-1--1,400144,400146,COMPUTE
-1--1,400160,400162,COMPUTE
-1--1,400176,400178,COMPUTE
-1--1,400192,400194,COMPUTE
-1--1,400208,400210,COMPUTE
-1--1,400224,400226,COMPUTE
-1--1,400240,400242,COMPUTE
-1--1,400256,400258,COMPUTE
-1--1,400272,400274,COMPUTE
-1--1,400288,400290,COMPUTE
-1--1,400304,400306,COMPUTE
-1--1,450144,450146,COMPUTE
-1--1,450160,450162,COMPUTE
-1--1,450176,450178,COMPUTE
-1--1,450192,450194,COMPUTE
-1--1,450208,450210,COMPUTE
-1--1,450224,450226,COMPUTE
-1--1,450240,450242,COMPUTE
-1--1,450256,450258,COMPUTE
-1--1,450272,450274,COMPUTE
-1--1,450288,450290,COMPUTE
-1--1,450304,450306,COMPUTE
-1--1,450320,450322,COMPUTE
-1--1,500160,500162,COMPUTE
-1--1,500176,500178,COMPUTE
-1--1,500192,500194,COMPUTE
-1--1,500208,500210,COMPUTE
-1--1,500224,500226,COMPUTE
-1--1,500240,500242,COMPUTE
-1--1,500256,500258,COMPUTE
-1--1,500272,500274,COMPUTE
-1--1,500288,500290,COMPUTE
-1--1,500304,500306,COMPUTE
-1--1,500320,500322,COMPUTE
-1--1,500336,500338,COMPUTE
-1--1,550176,550178,COMPUTE
-1--1,550192,550194,COMPUTE
-1--1,550208,550210,COMPUTE
-1--1,550224,550226,COMPUTE
-1--1,550240,550242,COMPUTE
-1--1,550256,550258,COMPUTE
-1--1,550272,550274,COMPUTE
-1--1,550288,550290,COMPUTE
-1--1,550304,550306,COMPUTE
-1--1,550320,550322,COMPUTE
-1--1,550336,550338,COMPUTE
-1--1,550352,550354,COMPUTE
-1--1,600192,600194,COMPUTE
-1--1,600208,600210,COMPUTE
-1--1,600224,600226,COMPUTE
-1--1,600240,600242,COMPUTE
-1--1,600256,600258,COMPUTE
-1--1,600272,600274,COMPUTE
-1--1,600288,600290,COMPUTE
-1--1,600304,600306,COMPUTE
-1--1,600320,600322,COMPUTE
-1--1,600336,600338,COMPUTE
-1--1,600352,600354,COMPUTE
-1--1,600368,600370,COMPUTE
-1--1,650208,650210,COMPUTE
-1--1,650224,650226,COMPUTE
-1--1,650240,650242,COMPUTE
-1--1,650256,650258,COMPUTE
-1--1,650272,650274,COMPUTE
-1--1,650288,650290,COMPUTE
-1--1,650304,650306,COMPUTE
-1--1,650320,650322,COMPUTE
-1--1,650336,650338,COMPUTE
-1--1,650352,650354,COMPUTE
-1--1,650368,650370,COMPUTE
-1--1,650384,650386,COMPUTE
-1--1,700224,700226,COMPUTE
-1--1,700240,700242,COMPUTE
-1--1,700256,700258,COMPUTE
-1--1,700272,700274,COMPUTE
-1--1,700288,700290,COMPUTE
-1--1,700304,700306,COMPUTE
-1--1,700320,700322,COMPUTE
-1--1,700336,700338,COMPUTE
-1--1,700352,700354,COMPUTE
-1--1,700368,700370,COMPUTE
-1--1,700384,700386,COMPUTE
-1--1,700400,700402,COMPUTE
-1--1,750240,750242,COMPUTE
-1--1,750256,750258,COMPUTE
-1--1,750272,750274,COMPUTE
-1--1,750288,750290,COMPUTE
-1--1,750304,750306,COMPUTE
-1--1,750320,750322,COMPUTE
-1--1,750336,750338,COMPUTE
-1--1,750352,750354,COMPUTE
-1--1,750368,750370,COMPUTE
-1--1,750384,750386,COMPUTE
-1--1,750400,750402,COMPUTE
-1--1,750416,750418,COMPUTE
-1--1,800256,800258,COMPUTE
-1--1,800272,800274,COMPUTE
-1--1,800288,800290,COMPUTE
-1--1,800304,800306,COMPUTE
-1--1,800320,800322,COMPUTE
-1--1,800336,800338,COMPUTE
-1--1,800352,800354,COMPUTE
-1--1,800368,800370,COMPUTE
-1--1,800384,800386,COMPUTE
-1--1,800400,800402,COMPUTE
-1--1,800416,800418,COMPUTE
-1--1,800432,800434,COMPUTE
-1--1,850272,850274,COMPUTE
-1--1,850288,850290,COMPUTE
-1--1,850304,850306,COMPUTE
-1--1,850320,850322,COMPUTE
-1--1,850336,850338,COMPUTE
-1--1,850352,850354,COMPUTE
-1--1,850368,850370,COMPUTE
-1--1,850384,850386,COMPUTE
-1--1,850400,850402,COMPUTE
-1--1,850416,850418,COMPUTE
-1--1,850432,850434,COMPUTE
-1--1,850448,850450,COMPUTE
-1--1,900288,900290,COMPUTE
-1--1,900304,900306,COMPUTE
-1--1,900320,900322,COMPUTE
-1--1,900336,900338,COMPUTE
-1--1,900352,900354,COMPUTE
-1--1,900368,900370,COMPUTE
-1--1,900384,900386,COMPUTE
-1--1,900400,900402,COMPUTE
-1--1,900416,900418,COMPUTE
-1--1,900432,900434,COMPUTE
-1--1,900448,900450,COMPUTE
-1--1,900464,900466,COMPUTE
-1--1,950304,950306,COMPUTE
-1--1,950320,950322,COMPUTE
-1--1,950336,950338,COMPUTE
-1--1,950352,950354,COMPUTE
-1--1,950368,950370,COMPUTE
-1--1,950384,950386,COMPUTE
-1--1,950400,950402,COMPUTE
-1--1,950416,950418,COMPUTE
-1--1,950432,950434,COMPUTE
-1--1,950448,950450,COMPUTE
-1--1,950464,950466,COMPUTE
-1--1,950480,950482,COMPUTE
-1--1,1000320,1000322,COMPUTE
-1--1,1000336,1000338,COMPUTE
-1--1,1000352,1000354,COMPUTE
-1--1,1000368,1000370,COMPUTE
-1--1,1000384,1000386,COMPUTE
-1--1,1000400,1000402,COMPUTE
-1--1,1000416,1000418,COMPUTE
-1--1,1000432,1000434,COMPUTE
-1--1,1000448,1000450,COMPUTE
-1--1,1000464,1000466,COMPUTE
-1--1,1000480,1000482,COMPUTE
-1--1,1000496,1000498,COMPUTE
-1--1,1050336,1050338,COMPUTE
-1--1,1050352,1050354,COMPUTE
-1--1,1050368,1050370,COMPUTE
-1--1,1050384,1050386,COMPUTE
-1--1,1050400,1050402,COMPUTE
-1--1,1050416,1050418,COMPUTE
-1--1,1050432,1050434,COMPUTE
-1--1,1050448,1050450,COMPUTE
-1--1,1050464,1050466,COMPUTE
-1--1,1050480,1050482,COMPUTE
-1--1,1050496,1050498,COMPUTE
-1--1,1050512,1050514,COMPUTE
-1--1,1100352,1100354,COMPUTE
-1--1,1100368,1100370,COMPUTE
-1--1,1100384,1100386,COMPUTE
-1--1,1100400,1100402,COMPUTE
-1--1,1100416,1100418,COMPUTE
-1--1,1100432,1100434,COMPUTE
-1--1,1100448,1100450,COMPUTE
-1--1,1100464,1100466,COMPUTE
-1--1,1100480,1100482,COMPUTE
-1--1,1100496,1100498,COMPUTE
-1--1,1100512,1100514,COMPUTE
-1--1,1100528,1100530,COMPUTE
-1--1,1150368,1150370,COMPUTE
-1--1,1150384,1150386,COMPUTE
-1--1,1150400,1150402,COMPUTE
-1--1,1150416,1150418,COMPUTE
-1--1,1150432,1150434,COMPUTE
-1--1,1150448,1150450,COMPUTE
-1--1,1150464,1150466,COMPUTE
-1--1,1150480,1150482,COMPUTE
-1--1,1150496,1150498,COMPUTE
-1--1,1150512,1150514,COMPUTE
-1--1,1150528,1150530,COMPUTE
-1--1,1150544,1150546,COMPUTE
-1--1,1200384,1200386,COMPUTE
-1--1,1200400,1200402,COMPUTE
-1--1,1200416,1200418,COMPUTE
-1--1,1200432,1200434,COMPUTE
-1--1,1200448,1200450,COMPUTE
-1--1,1200464,1200466,COMPUTE
-1--1,1200480,1200482,COMPUTE
-1--1,1200496,1200498,COMPUTE
-1--1,1200512,1200514,COMPUTE
-1--1,1200528,1200530,COMPUTE
-1--1,1200544,1200546,COMPUTE
-1--1,1200560,1200562,COMPUTE
-1--1,1250400,1250402,COMPUTE
-1--1,1250416,1250418,COMPUTE
-1--1,1250432,1250434,COMPUTE
-1--1,1250448,1250450,COMPUTE
-1--1,1250464,1250466,COMPUTE
-1--1,1250480,1250482,COMPUTE
-1--1,1250496,1250498,COMPUTE
-1--1,1250512,1250514,COMPUTE
-1--1,1250528,1250530,COMPUTE
-1--1,1250544,1250546,COMPUTE
-1--1,1250560,1250562,COMPUTE
-1--1,1250576,1250578,COMPUTE
-1--1,1300416,1300418,COMPUTE
-1--1,1300432,1300434,COMPUTE
-1--1,1300448,1300450,COMPUTE
-1--1,1300464,1300466,COMPUTE
-1--1,1300480,1300482,COMPUTE
-1--1,1300496,1300498,COMPUTE
-1--1,1300512,1300514,COMPUTE
-1--1,1300528,1300530,COMPUTE
-1--1,1300544,1300546,COMPUTE
-1--1,1300560,1300562,COMPUTE
-1--1,1300576,1300578,COMPUTE
-1--1,1300592,1300594,COMPUTE
-1--1,1350432,1350434,COMPUTE
-1--1,1350448,1350450,COMPUTE
-1--1,1350464,1350466,COMPUTE
-1--1,1350480,1350482,COMPUTE
-1--1,1350496,1350498,COMPUTE
-1--1,1350512,1350514,COMPUTE
-1--1,1350528,1350530,COMPUTE
-1--1,1350544,1350546,COMPUTE
-1--1,1350560,1350562,COMPUTE
-1--1,1350576,1350578,COMPUTE
-1--1,1350592,1350594,COMPUTE
-1--1,1350608,1350610,COMPUTE
-1--1,1400448,1400450,COMPUTE
-1--1,1400464,1400466,COMPUTE
-1--1,1400480,1400482,COMPUTE
-1--1,1400496,1400498,COMPUTE
-1--1,1400512,1400514,COMPUTE
-1--1,1400528,1400530,COMPUTE
-1--1,1400544,1400546,COMPUTE
-1--1,1400560,1400562,COMPUTE
-1--1,1400576,1400578,COMPUTE
-1--1,1400592,1400594,COMPUTE
-1--1,1400608,1400610,COMPUTE
-1--1,1400624,1400626,COMPUTE
-1--1,1450464,1450466,COMPUTE
-1--1,1450480,1450482,COMPUTE
-1--1,1450496,1450498,COMPUTE
-1--1,1450512,1450514,COMPUTE
-1--1,1450528,1450530,COMPUTE
-1--1,1450544,1450546,COMPUTE
-1--1,1450560,1450562,COMPUTE
-1--1,1450576,1450578,COMPUTE
-1--1,1450592,1450594,COMPUTE
-1--1,1450608,1450610,COMPUTE
-1--1,1450624,1450626,COMPUTE
-1--1,1450640,1450642,COMPUTE
-1--1,1500480,1500482,COMPUTE
-1--1,1500496,1500498,COMPUTE
-1--1,1500512,1500514,COMPUTE
-1--1,1500528,1500530,COMPUTE
-1--1,1500544,1500546,COMPUTE
-1--1,1500560,1500562,COMPUTE
-1--1,1500576,1500578,COMPUTE
-1--1,1500592,1500594,COMPUTE
-1--1,1500608,1500610,COMPUTE
-1--1,1500624,1500626,COMPUTE
-1--1,1500640,1500642,COMPUTE
-1--1,1500656,1500658,COMPUTE
-1--1,1550496,1550498,COMPUTE
-1--1,1550512,1550514,COMPUTE
-1--1,1550528,1550530,COMPUTE
-1--1,1550544,1550546,COMPUTE
-1--1,1550560,1550562,COMPUTE
-1--1,1550576,1550578,COMPUTE
-1--1,1550592,1550594,COMPUTE
-1--1,1550608,1550610,COMPUTE
-1--1,1550624,1550626,COMPUTE
-1--1,1550640,1550642,COMPUTE
-1--1,1550656,1550658,COMPUTE
-1--1,1550672,1550674,COMPUTE
-1--1,1600512,1600514,COMPUTE
-1--1,1600528,1600530,COMPUTE
-1--1,1600544,1600546,COMPUTE
-1--1,1600560,1600562,COMPUTE
-1--1,1600576,1600578,COMPUTE
-1--1,1600592,1600594,COMPUTE
-1--1,1600608,1600610,COMPUTE
-1--1,1600624,1600626,COMPUTE
-1--1,1600640,1600642,COMPUTE
-1--1,1600656,1600658,COMPUTE
-1--1,1600672,1600674,COMPUTE
-1--1,1600688,1600690,COMPUTE
-1--1,1650528,1650530,COMPUTE
-1--1,1650544,1650546,COMPUTE
-1--1,1650560,1650562,COMPUTE
-1--1,1650576,1650578,COMPUTE
-1--1,1650592,1650594,COMPUTE
-1--1,1650608,1650610,COMPUTE
-1--1,1650624,1650626,COMPUTE
-1--1,1650640,1650642,COMPUTE
-1--1,1650656,1650658,COMPUTE
-1--1,1650672,1650674,COMPUTE
-1--1,1650688,1650690,COMPUTE
-1--1,1650704,1650706,COMPUTE
-1--1,1700544,1700546,COMPUTE
