Channel_Die,Start,End,Operation
0-0,0,250016,READ
1-0,0,2500176,READ
1-1,16,200032,READ
1-2,32,900096,READ
1-3,48,900112,READ
1-4,64,200080,READ
1-5,80,450112,READ
1-6,96,200112,READ
1-7,112,150128,READ
1-8,128,400160,READ
1-9,144,200160,READ
1-10,160,400192,READ
1-11,176,200192,READ
-1--1,250016,250020,COMPUTE
1-1,250032,2500192,READ
-1--1,250048,250050,COMPUTE
-1--1,250064,250068,COMPUTE
1-4,250080,450096,READ
-1--1,250096,250102,COMPUTE
1-6,250112,700144,READ
1-7,250128,700160,READ
-1--1,250144,250148,COMPUTE
1-9,250160,1450240,READ
-1--1,250176,250180,COMPUTE
1-11,250192,400208,READ
-1--1,450032,450034,COMPUTE
-1--1,500048,500050,COMPUTE
-1--1,500064,500066,COMPUTE
-1--1,500080,500086,COMPUTE
1-4,500096,2100208,READ
1-5,500112,700128,READ
-1--1,500128,500130,COMPUTE
-1--1,500144,500148,COMPUTE
1-8,500160,1150208,READ
-1--1,500176,500182,COMPUTE
1-10,500192,1200240,READ
1-11,500208,1450272,READ
-1--1,650048,650050,COMPUTE
-1--1,700064,700066,COMPUTE
-1--1,700080,700082,COMPUTE
-1--1,700096,700098,COMPUTE
-1--1,750112,750120,COMPUTE
1-5,750128,1450176,READ
1-6,750144,2400256,READ
1-7,750160,900176,READ
-1--1,750176,750178,COMPUTE
-1--1,750192,750194,COMPUTE
-1--1,750208,750210,COMPUTE
-1--1,750224,750226,COMPUTE
-1--1,900064,900066,COMPUTE
-1--1,950080,950086,COMPUTE
1-2,950096,1850160,READ
1-3,950112,1600160,READ
-1--1,1000128,1000130,COMPUTE
-1--1,1000144,1000146,COMPUTE
-1--1,1000160,1000164,COMPUTE
1-7,1000176,1200192,READ
-1--1,1000192,1000194,COMPUTE
-1--1,1000208,1000210,COMPUTE
-1--1,1000224,1000226,COMPUTE
-1--1,1000240,1000242,COMPUTE
-1--1,1150080,1150082,COMPUTE
-1--1,1200096,1200098,COMPUTE
-1--1,1200112,1200114,COMPUTE
-1--1,1200128,1200130,COMPUTE
-1--1,1250144,1250146,COMPUTE
-1--1,1250160,1250162,COMPUTE
-1--1,1250176,1250182,COMPUTE
1-7,1250192,5750496,READ
1-8,1250208,1450224,READ
-1--1,1250224,1250228,COMPUTE
1-10,1250240,1700272,READ
-1--1,1250256,1250258,COMPUTE
-1--1,1400096,1400098,COMPUTE
-1--1,1450112,1450114,COMPUTE
-1--1,1450128,1450130,COMPUTE
-1--1,1450144,1450146,COMPUTE
-1--1,1500160,1500164,COMPUTE
1-5,1500176,3700336,READ
-1--1,1500192,1500194,COMPUTE
-1--1,1500208,1500214,COMPUTE
1-8,1500224,2200272,READ
1-9,1500240,2200288,READ
-1--1,1500256,1500260,COMPUTE
1-11,1500272,2400336,READ
-1--1,1650112,1650114,COMPUTE
-1--1,1650128,1650130,COMPUTE
-1--1,1650144,1650148,COMPUTE
1-3,1650160,2350208,READ
-1--1,1700176,1700178,COMPUTE
-1--1,1750192,1750194,COMPUTE
-1--1,1750208,1750210,COMPUTE
-1--1,1750224,1750226,COMPUTE
-1--1,1750240,1750242,COMPUTE
-1--1,1750256,1750260,COMPUTE
1-10,1750272,1900288,READ
-1--1,1750288,1750290,COMPUTE
-1--1,1850128,1850130,COMPUTE
-1--1,1900144,1900148,COMPUTE
1-2,1900160,3500272,READ
-1--1,1900176,1900178,COMPUTE
-1--1,1950192,1950194,COMPUTE
-1--1,1950208,1950210,COMPUTE
-1--1,1950224,1950226,COMPUTE
-1--1,2000240,2000242,COMPUTE
-1--1,2000256,2000258,COMPUTE
-1--1,2000272,2000276,COMPUTE
1-10,2000288,2400320,READ
