Channel_Die,Start,End,Operation
0-0,16689,66689,READ
0-0,3350268,105700268,READ
1-0,16689,66689,READ
1-0,200268,3350268,READ
1-1,33378,83378,READ
1-1,200268,3350268,READ
1-10,183579,3383579,READ
1-11,200268,3400268,READ
1-2,50067,100067,READ
1-2,200268,3350268,READ
1-3,66756,116756,READ
1-3,200268,3350268,READ
1-4,83445,133445,READ
1-4,200268,3350268,READ
1-5,100134,150134,READ
1-5,200268,3350268,READ
1-6,116823,166823,READ
1-6,200268,3350268,READ
1-7,133512,183512,READ
1-7,200268,3350268,READ
1-8,150201,200201,READ
1-8,200268,3350268,READ
1-9,166890,3366890,READ
2-0,105650268,108850268,READ
2-1,105650268,108850268,READ
2-10,105650268,108850268,READ
2-11,105650268,108850268,READ
2-2,105650268,108850268,READ
2-3,105650268,108850268,READ
2-4,105650268,108850268,READ
2-5,105650268,108850268,READ
2-6,105650268,108850268,READ
2-7,105650268,108850268,READ
2-8,105650268,108850268,READ
2-9,105650268,108850268,READ
