Channel_Die,Start,End,Operation
1-0,16689,66689,READ
1-0,200268,3350268,READ
1-1,33378,83378,READ
1-1,200268,3350268,READ
1-10,183579,3383579,READ
1-11,200268,3400268,READ
1-2,50067,100067,READ
1-2,200268,3350268,READ
1-3,66756,116756,READ
1-3,200268,3350268,READ
1-4,83445,133445,READ
1-4,200268,3350268,READ
1-5,100134,150134,READ
1-5,200268,3350268,READ
1-6,116823,166823,READ
1-6,200268,3350268,READ
1-7,133512,183512,READ
1-7,200268,3350268,READ
1-8,150201,200201,READ
1-8,200268,3350268,READ
1-9,166890,3366890,READ
2-0,3350268,6550268,READ
2-1,3350268,6550268,READ
2-10,3350268,6550268,READ
2-11,3350268,6550268,READ
2-2,3350268,6550268,READ
2-3,3350268,6550268,READ
2-4,3350268,6550268,READ
2-5,3350268,6550268,READ
2-6,3350268,6550268,READ
2-7,3350268,6550268,READ
2-8,3350268,6550268,READ
2-9,3350268,6550268,READ
3-0,6500268,9700268,READ
3-1,6500268,9700268,READ
3-10,6500268,9700268,READ
3-11,6500268,9700268,READ
3-2,6500268,9700268,READ
3-3,6500268,9700268,READ
3-4,6500268,9700268,READ
3-5,6500268,9700268,READ
3-6,6500268,9700268,READ
3-7,6500268,9700268,READ
3-8,6500268,9700268,READ
3-9,6500268,9700268,READ
6-0,9700268,1852900268,WRITE
6-1,9700268,1852900268,WRITE
6-10,9700268,1852900268,WRITE
6-11,9700268,1852900268,WRITE
6-2,9700268,1852900268,WRITE
6-3,9700268,1852900268,WRITE
6-4,9700268,1852900268,WRITE
6-5,9700268,1852900268,WRITE
6-6,9700268,1852900268,WRITE
6-7,9700268,1852900268,WRITE
6-8,9700268,1852900268,WRITE
6-9,9700268,1852900268,WRITE
6-0,1852900268,1853000268,READ
6-0,1853500268,1853600268,READ
6-0,1854100268,1854200268,READ
6-0,1854700268,1854800268,READ
6-0,1855300268,1855400268,READ
6-0,1855900268,1856000268,READ
6-0,1856500268,1856600268,READ
6-0,1857100268,1857200268,READ
6-0,1857700268,1857800268,READ
6-0,1858300268,1858400268,READ
6-0,1858900268,1859000268,READ
6-0,1859500268,1859600268,READ
6-0,1860100268,1860200268,READ
6-0,1860700268,1860800268,READ
6-0,1861300268,1861400268,READ
6-0,1861900268,1862000268,READ
6-0,1862500268,1862600268,READ
6-0,1863100268,1863200268,READ
6-0,1863700268,1863800268,READ
6-0,1864300268,1864400268,READ
6-0,1864900268,1865000268,READ
6-0,1865500268,1865600268,READ
6-0,1866100268,1866200268,READ
6-0,1866700268,1866800268,READ
6-0,1867300268,1867400268,READ
6-0,1867900268,1868000268,READ
6-0,1868500268,1868600268,READ
6-0,1869100268,1869200268,READ
6-0,1869700268,1869800268,READ
6-0,1870300268,1870400268,READ
6-0,1870900268,1871000268,READ
6-0,1871500268,1871600268,READ
6-0,1872100268,1872200268,READ
6-0,1872700268,1872800268,READ
6-0,1873300268,1873400268,READ
6-0,1873900268,1874000268,READ
6-0,1874500268,1874600268,READ
6-0,1875100268,1875200268,READ
6-0,1875700268,1875800268,READ
6-0,1876300268,1876400268,READ
6-0,1876900268,1877000268,READ
6-0,1877500268,1877600268,READ
6-0,1878100268,1878200268,READ
6-0,1878700268,1878800268,READ
6-0,1879300268,1879400268,READ
6-0,1879900268,1880000268,READ
6-0,1880500268,1880600268,READ
6-0,1881100268,1881200268,READ
6-0,1881700268,1881800268,READ
6-0,1882300268,1882400268,READ
6-0,1882900268,1883000268,READ
6-0,1883500268,1883600268,READ
6-0,1884100268,1884200268,READ
6-0,1884700268,1884800268,READ
6-0,1885300268,1885400268,READ
6-0,1885900268,1886000268,READ
6-0,1886500268,1886600268,READ
6-0,1887100268,1887200268,READ
6-0,1887700268,1887800268,READ
6-0,1888300268,1888400268,READ
6-0,1888900268,1889000268,READ
6-0,1889500268,1889600268,READ
6-0,1890100268,1890200268,READ
6-0,1890700268,1890800268,READ
6-1,1852950268,1853050268,READ
6-1,1853550268,1853650268,READ
6-1,1854150268,1854250268,READ
6-1,1854750268,1854850268,READ
6-1,1855350268,1855450268,READ
6-1,1855950268,1856050268,READ
6-1,1856550268,1856650268,READ
6-1,1857150268,1857250268,READ
6-1,1857750268,1857850268,READ
6-1,1858350268,1858450268,READ
6-1,1858950268,1859050268,READ
6-1,1859550268,1859650268,READ
6-1,1860150268,1860250268,READ
6-1,1860750268,1860850268,READ
6-1,1861350268,1861450268,READ
6-1,1861950268,1862050268,READ
6-1,1862550268,1862650268,READ
6-1,1863150268,1863250268,READ
6-1,1863750268,1863850268,READ
6-1,1864350268,1864450268,READ
6-1,1864950268,1865050268,READ
6-1,1865550268,1865650268,READ
6-1,1866150268,1866250268,READ
6-1,1866750268,1866850268,READ
6-1,1867350268,1867450268,READ
6-1,1867950268,1868050268,READ
6-1,1868550268,1868650268,READ
6-1,1869150268,1869250268,READ
6-1,1869750268,1869850268,READ
6-1,1870350268,1870450268,READ
6-1,1870950268,1871050268,READ
6-1,1871550268,1871650268,READ
6-1,1872150268,1872250268,READ
6-1,1872750268,1872850268,READ
6-1,1873350268,1873450268,READ
6-1,1873950268,1874050268,READ
6-1,1874550268,1874650268,READ
6-1,1875150268,1875250268,READ
6-1,1875750268,1875850268,READ
6-1,1876350268,1876450268,READ
6-1,1876950268,1877050268,READ
6-1,1877550268,1877650268,READ
6-1,1878150268,1878250268,READ
6-1,1878750268,1878850268,READ
6-1,1879350268,1879450268,READ
6-1,1879950268,1880050268,READ
6-1,1880550268,1880650268,READ
6-1,1881150268,1881250268,READ
6-1,1881750268,1881850268,READ
6-1,1882350268,1882450268,READ
6-1,1882950268,1883050268,READ
6-1,1883550268,1883650268,READ
6-1,1884150268,1884250268,READ
6-1,1884750268,1884850268,READ
6-1,1885350268,1885450268,READ
6-1,1885950268,1886050268,READ
6-1,1886550268,1886650268,READ
6-1,1887150268,1887250268,READ
6-1,1887750268,1887850268,READ
6-1,1888350268,1888450268,READ
6-1,1888950268,1889050268,READ
6-1,1889550268,1889650268,READ
6-1,1890150268,1890250268,READ
6-1,1890750268,1890850268,READ
6-10,1853400268,1853500268,READ
6-10,1854000268,1854100268,READ
6-10,1854600268,1854700268,READ
6-10,1855200268,1855300268,READ
6-10,1855800268,1855900268,READ
6-10,1856400268,1856500268,READ
6-10,1857000268,1857100268,READ
6-10,1857600268,1857700268,READ
6-10,1858200268,1858300268,READ
6-10,1858800268,1858900268,READ
6-10,1859400268,1859500268,READ
6-10,1860000268,1860100268,READ
6-10,1860600268,1860700268,READ
6-10,1861200268,1861300268,READ
6-10,1861800268,1861900268,READ
6-10,1862400268,1862500268,READ
6-10,1863000268,1863100268,READ
6-10,1863600268,1863700268,READ
6-10,1864200268,1864300268,READ
6-10,1864800268,1864900268,READ
6-10,1865400268,1865500268,READ
6-10,1866000268,1866100268,READ
6-10,1866600268,1866700268,READ
6-10,1867200268,1867300268,READ
6-10,1867800268,1867900268,READ
6-10,1868400268,1868500268,READ
6-10,1869000268,1869100268,READ
6-10,1869600268,1869700268,READ
6-10,1870200268,1870300268,READ
6-10,1870800268,1870900268,READ
6-10,1871400268,1871500268,READ
6-10,1872000268,1872100268,READ
6-10,1872600268,1872700268,READ
6-10,1873200268,1873300268,READ
6-10,1873800268,1873900268,READ
6-10,1874400268,1874500268,READ
6-10,1875000268,1875100268,READ
6-10,1875600268,1875700268,READ
6-10,1876200268,1876300268,READ
6-10,1876800268,1876900268,READ
6-10,1877400268,1877500268,READ
6-10,1878000268,1878100268,READ
